identyfikator;numer;litera;Warunek;negRPplus;pozRPplus;negRPminus;pozRPminus;negNRP;pozNRP;OdpRPplus;OdpRPminus;OdpNRP;wiek;plec;nastroj;SSPP_1;SSPP_2;SSPP_3;SSPP_4;SSPP_5;SSPP_6;SSPP_7;SSPP_8;SSPP_9;SSPP_10;SSPP_11;SSPP_12;SSPP_13;SSPP_14;SSPP_15;SSPP_16;SSPP_17;SSPP_18;SSPP_19;SSPP_20;SSPP_21;SSPP_22;SSPP_23;SSPP_24;SSPP_25;SSPP_26;SSPP_27;SSPP_8_R;SSPP_26_R;KU_1;KU_2;KU_3;KU_4;KU_5;KU_6;KU_7;KU_8;KU_9;KU_10;KU_11;KU_12;KU_13;KU_14;KU_15;KU_16;KU_17;KU_18;KU_19;KU_20;srePromocja;srePrewencja;rozPromPrew;PromocjaKontrola;PromocjaStandardy;PrewencjaStandardy;PrewencjaKontrola;PrewencjaSuma;PromocjaSuma;Sila;RPplusRoz;RPminusRoz;NRPRoz;RIF;bledy;RPbledy;NRPbledy;NASTAWIENIE;KU_1_R;KU_2_R;KU_3_R;KU_6_R;KU_7_R;KU_8_R;KU_11_R;KU_12_R;KU_15_R;KU_16_R;KU_20_R;AF;AS;AS_med;AF_med;KKU_suma;ZOdpRPminus;ZKKU_suma;ZAF;ZAS;warc;inter_SKU_war;inter_SKU_war1
61A;61;A;3;827,6666666667;694;630;783,2;627,1818181818;637,2;0,625;0;0;26;1;4;4;3;4;2;4;4;4;3;1;5;1;2;5;3;3;5;4;4;4;4;3;5;3;4;4;2;5;3;4;3;2;2;1;2;3;2;4;3;2;3;4;3;1;4;3;2;2;1;4;3,8888888889;3;0,8888888889;15;20;6;27;33;35;29;133,6666666667;-153,2;-10,0181818182;0;3;2;1;2;2;3;3;2;3;1;2;1;1;2;1;22;16;1;1;38;-1,2438533571;-1,7685936442;-0,7485237855;-2,4287966919;1;38;114
19B;19;B;3;1289,5;825;1015,5;1042;834,8333333333;968,8571428571;0,625;0,375;0,3125;25;2;4;5;4;4;3;4;2;4;2;4;2;2;4;2;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3;2;2;3;1;3;2;1;3;2;2;2;3;3;4;2;2;2;2;3;3,8888888889;3,7272727273;0,1616161616;17;18;13;28;41;35;22;464,5;-26,5;-134,0238095238;-0,0625;0;;;;;1;2;3;3;2;3;4;3;3;1;3;2;26;24;1;2;50;0,4294255638;-0,3208345246;0,0756729284;-0,6666520615;1
10B;10;B;3;738,5;664,25;631,4;798,6666666667;852;757,2;0,375;0,5;0,25;25;2;5;3;5;3;5;2;3;4;2;5;2;3;3;4;4;4;4;2;3;5;4;5;3;2;5;5;3;2;4;3;3;2;2;4;4;2;2;3;4;2;2;3;2;2;3;2;2;3;1;2;3;4,1818181818;-1,1818181818;15;12;16;30;46;27;24;74,25;-167,2666666667;94,8;-0,25;0;;;;;1;2;3;3;3;3;2;3;2;2;3;3;31;22;1;2;53;0,987185204;0,0411052552;1,1059188207;-1,1071882191;1
6B;6;B;3;744,6666666667;668,2;765,2;934,3333333333;766,3636363636;729,6;0,75;0,375;0,5;42;1;5;1;2;2;2;5;3;2;3;3;4;2;2;2;3;3;4;3;4;4;3;4;4;4;2;4;4;4;3;2;4;4;1;1;4;4;1;3;4;1;2;4;3;1;4;1;1;4;1;1;3,3333333333;2,7272727273;0,6060606061;10;20;9;21;30;30;21;76,4666666667;-169,1333333333;36,7636363636;0,125;0;;;;;2;1;1;4;1;4;2;3;1;1;4;4;26;20;1;2;46;0,4294255638;-0,8034208978;0,0756729284;-1,5477243767;1
10A;10;A;3;884;949,3333333333;886,2;985,3333333333;920,7;917,3333333333;0,5;0;0,125;33;2;3;3;3;3;2;3;4;3;2;2;3;2;2;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;3,3333333333;2,6363636364;0,696969697;14;16;8;21;29;30;22;-65,3333333333;-99,1333333333;3,3666666667;0,125;1;1;1;2;3;3;3;3;3;3;2;3;3;3;3;26;24;1;2;50;-1,2438533571;-0,3208345246;0,0756729284;-0,6666520615;1;50;150
30A;30;A;3;710,4;581,3333333333;806,6;692;576,4545454545;552,6;0,75;0,25;0,125;20;1;5;;;2;3;5;4;3;3;4;1;4;3;2;3;3;3;3;4;4;4;5;4;3;3;1;2;3;2;2;3;4;3;3;3;4;3;3;2;4;3;3;4;3;3;4;2;3;4;3;2;3,25;2,7272727273;0,5227272727;;;16;11;19;30;;;23;129,0666666667;114,6;23,8545454545;-0,125;3;2;;;2;1;2;2;2;2;3;2;1;1;3;3;27;25;1;2;52;-0,1283340765;-0,0795413381;0,2817221068
4D;4;D;3;1138,2;1092,3333333333;979,8;1137,6666666667;747,6;979,4;0,375;0,25;0,375;17;1;4;5;4;4;4;2;2;2;5;2;2;4;2;5;4;4;1;2;4;4;4;2;4;4;1;2;2;4;1;4;3;1;1;2;2;3;1;1;2;2;1;1;4;2;4;2;2;2;1;4;3,6666666667;2,3636363636;1,303030303;17;16;12;14;26;33;24;45,8666666667;-157,8666666667;-231,8;0,125;8;;;;;2;2;4;4;2;4;4;4;4;1;3;1;28;24;1;2;52;-0,1283340765;-0,0795413381;0,4877712853;-0,6666520615;1
63A;63;A;3;507,3333333333;495,25;599,2;581;550,5454545455;618,5;0,875;0,125;0,1875;24;2;4;4;4;4;3;3;3;3;2;2;3;3;3;4;4;4;3;2;3;4;4;2;3;3;3;2;3;3;4;3;3;2;1;2;2;2;2;1;2;2;2;3;3;1;3;2;3;3;2;2;3,4444444444;2,7272727273;0,7171717172;16;15;11;19;30;31;25;12,0833333333;18,2;-67,9545454545;0,0625;0;;;;;2;2;3;4;3;3;4;3;2;2;3;3;28;24;1;2;52;-0,6860937168;-0,0795413381;0,4877712853;-0,6666520615;1
6A;6;A;3;1196;1160,25;1303;977;1628,2857142857;1590,5714285714;0;0,125;0,0625;28;2;4;5;4;4;3;3;3;3;2;3;4;2;3;4;4;4;3;2;4;4;4;4;3;3;4;3;3;3;4;3;2;2;2;3;3;2;2;2;2;3;3;2;3;2;2;2;2;2;2;2;3,6666666667;3,0909090909;0,5757575758;17;16;11;23;34;33;26;35,75;326;37,7142857143;-0,0625;0;;;;;2;3;3;3;3;3;3;2;3;3;3;3;28;26;1;2;54;-0,6860937168;0,1617518485;0,4877712853;-0,2261159039;1
29A;29;A;3;771,4;607,3333333333;749,8;710;631,625;639,1428571429;0,25;0,25;0,375;23;1;3;2;4;2;5;3;2;3;5;5;2;4;5;3;2;3;4;4;2;3;2;4;2;2;5;4;4;2;1;2;3;3;2;2;2;3;4;1;2;2;3;2;3;2;2;3;4;1;3;1;2,2222222222;4,2727272727;-2,0505050505;9;11;19;28;47;20;15;164,0666666667;39,8;-7,5178571429;0,125;2;2;1;1;2;2;3;2;1;4;2;3;3;2;4;21;28;2;1;49;-0,1283340765;-0,4414811179;-0,9545729639;0,2144202537;1;49;147
